proxy_cp	hangul	hangul_cp
U+72FD	변	U+BCC0
U+731C	별	U+BCC4
U+731F	볍	U+BCCD
U+732A	병	U+BCD1
U+7337	보	U+BCF4
U+733F	복	U+BCF5
U+7396	본	U+BCF8
U+73B2	볼	U+BCFC
U+73BB	봄	U+BD04
U+73C2	봅	U+BD05
U+73CA	봇	U+BD07
U+73EA	봉	U+BD09
U+73ED	봐	U+BD10
U+7409	봤	U+BD24
U+7422	봬	U+BD2C
U+7433	뵐	U+BD50
U+7434	뵙	U+BD59
U+7435	부	U+BD80
U+7436	북	U+BD81
U+745A	분	U+BD84
U+745B	불	U+BD88
U+745E	붉	U+BD89
U+7460	붓	U+BD93
U+7473	붕	U+BD95
U+7483	붙	U+BD99
U+74BD	뷔	U+BDD4
U+74E2	뷰	U+BDF0
U+74F6	뷸	U+BDF8
U+7511	브	U+BE0C
U+751C	븐	U+BE10
U+7525	블	U+BE14
U+752B	비	U+BE44
U+7551	빅	U+BE45
U+7554	빈	U+BE48
U+755C	빌	U+BE4C
U+755D	빔	U+BE54
U+7560	빕	U+BE55
U+7562	빗	U+BE57
U+7566	빙	U+BE59
U+7577	빚	U+BE5A
U+758B	빛	U+BE5B
U+758F	빠	U+BE60
U+75AB	빡	U+BE61
U+75B9	빨	U+BE68
U+75D4	빴	U+BE74
U+75D8	빼	U+BE7C
U+75E2	뺀	U+BE80
U+75E9	뺄	U+BE84
U+75FA	뺐	U+BE90
U+764C	뻐	U+BED0
U+766A	뻔	U+BED4
U+7690	뻤	U+BEE4
U+76C3	뼈	U+BF08
U+76C6	뽑	U+BF51
U+76C8	뿌	U+BFCC
U+76DF	뿐	U+BFD0
U+76F2	뿔	U+BFD4
U+770C	뿜	U+BFDC
U+7729	뿟	U+BFDF
U+773A	쁘	U+C058
U+7763	쁜	U+C05C
U+77A5	쁠	U+C060
U+77E7	쁩	U+C069
U+77E9	삐	U+C090
U+77EF	사	U+C0AC
U+7825	삭	U+C0AD
U+7826	산	U+C0B0
U+7827	살	U+C0B4
U+783A	삶	U+C0B6
U+783F	삼	U+C0BC
U+785D	삽	U+C0BD
U+786B	삿	U+C0BF
U+786F	상	U+C0C1
U+7872	새	U+C0C8
U+7881	색	U+C0C9
U+7887	샌	U+C0CC
U+788D	샐	U+C0D0
U+7891	샘	U+C0D8
U+7893	생	U+C0DD
U+7895	샤	U+C0E4
U+7897	샷	U+C0F7
U+78A7	샹	U+C0F9
U+78A9	섀	U+C100
U+78CA	서	U+C11C
U+78D0	석	U+C11D
U+78EF	섞	U+C11E
U+7901	선	U+C120
U+7919	섣	U+C123
U+7941	설	U+C124
U+7947	섬	U+C12C
U+7949	섭	U+C12D
U+7950	섯	U+C12F
U+7953	섰	U+C130
U+7960	성	U+C131
U+7962	세	U+C138
U+7968	센	U+C13C
U+7984	셀	U+C140
U+7985	셈	U+C148
U+798E	셉	U+C149
U+79A6	셋	U+C14B
U+79B0	셔	U+C154
U+79BD	션	U+C158
U+79BE	셜	U+C15C
U+79BF	셨	U+C168
U+79DF	셴	U+C174
U+79E4	셸	U+C178
U+79E6	소	U+C18C
U+7A0E	속	U+C18D
U+7A14	손	U+C190
U+7A17	솔	U+C194
U+7A1C	솜	U+C19C
U+7A3D	솟	U+C19F
U+7A40	송	U+C1A1
U+7A46	쇄	U+C1C4
U+7A4E	쇠	U+C1E0
U+7A50	쇼	U+C1FC
U+7A63	숀	U+C200
U+7A7F	숄	U+C204
U+7A83	수	U+C218
U+7A92	숙	U+C219
U+7A93	순	U+C21C
U+7AAF	술	U+C220
U+7AC3	숨	U+C228
U+7AE3	숫	U+C22B
